caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
G,LT1,3.96,9.5812017968513,8.280517243116533,0.0,7.321268889195428e-13,2.1840847075195573e-12,-5.939636416501143e-14,2.4029427127273665e-13,2.753173258583799e-12,0.0,0.0
G,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,-3.861087023831496e-06,1.1003765100501522e-06,-7.415859582733343e-07,-1.0002228520190484e-05,1.1511603402117863e-05,-31.679999999999996,0.0
G,LT1,7.92,21.479515622754562,7.88078587266745,0.0,-1.9914586031680833e-06,5.95344449791278e-06,-4.0251216953350847e-07,-5.163570822404482e-06,1.4599210931756608e-05,0.0,0.0
G,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,1.8288525785521223e-05,1.0084161025828485e-05,-1.2674408323271142e-06,7.865849275447226e-06,2.8025936778228702e-05,-32.05,0.07599999999999985
G,LT1,11.88,20.881144798066224,7.468772582357823,0.0,4.227003978881956e-05,2.013229510181121e-05,-5.163483109314255e-07,3.841355168118815e-05,3.091423894860723e-05,0.0,0.0
G,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,7.417977540731226e-05,3.2754326754405175e-05,-8.529798928554033e-07,6.766211102481113e-05,4.482929238717431e-05,-32.05,0.6589999999999998
G,LT1,15.84,23.809503212661653,7.538875422021011,0.0,0.00016082135691285562,-3.7283255482570418e-06,-3.6407453908017385e-06,0.00013337423096830412,8.295601353052006e-05,0.0,0.0
G,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,0.0001990093224678899,7.361273755611372e-05,6.53982128990535e-07,0.0002036455369979907,6.423686583788393e-05,-32.05,1.2419999999999998
G,LT1,19.8,24.810622677985457,7.029230343813885,0.0,0.00040858362164507804,-0.00014151068932266898,-1.1409587403543028e-05,0.0003283830036576967,0.00014156827865813285,0.0,0.0
G,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,0.0003574503365633332,0.0001013013772605037,1.7978221641579103e-06,0.00036902302197147857,7.64590502243132e-05,-32.05,1.825
