bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-1.7177376665231076e-12,1.1679438690850206e-11,0.0,0.0,2.145528298405076e-14,1.0900159950294773e-11,-1.9986298196671398e-13
LT2,3.96,-1.9395951221684518e-08,0.00014555580768973891,-31.679999999999996,0.0,-1.9228471059503793e-08,0.00014555550341431646,-2.0787456532058686e-11
LT1,7.92,-5.201013701854506e-07,0.00010630821807507335,0.0,0.0,-4.837127463067437e-07,0.0001062025449343494,-4.822940119735738e-09
LT2,7.92,-7.449593913353711e-08,0.0003321789664149127,-32.05,0.07599999999999985,-7.445811539061856e-08,0.000332178897828596,-4.72212890291891e-12
LT1,11.88,2.4109532686150848e-05,0.0003517145973838376,0.0,0.0,1.2420332160993887e-06,0.0004208691241268059,3.190876321025004e-06
LT2,11.88,-2.0628330778359052e-07,0.0005040009256121746,-32.05,0.6589999999999998,-2.0631160019675102e-07,0.00050400098093955,3.809137954301578e-12
LT1,15.84,-6.857437399816706e-06,0.0006444231485139462,0.0,0.0,-6.858642797799419e-06,0.0006444268788791019,1.56376286884797e-10
LT2,15.84,-6.85717848999754e-06,0.0006444221896005673,-32.05,1.2419999999999998,-6.857387838028756e-06,0.0006444226339573836,3.0261606576650996e-11
LT1,19.8,-9.943489329508458e-06,0.0009864449180551388,0.0,0.0,-9.997013772420117e-06,0.000986621942057098,6.8889516885411e-09
LT2,19.8,-1.3541761878002188e-05,0.0006860183960079529,-32.05,1.825,-1.3541842833854185e-05,0.0006860185678207229,1.2185460364327075e-11
